Cronel,211.287,48.098,47.812,32.028,48.868,34.481
Downrightdave,205.835,40.075,37.116,45.636,47.448,35.56
Grapes of Math,200.097,41.546,32.267,45.816,39.983,40.485
Saccora,177.013,44.815,41.156,38.045,28.4,24.597
Virchue,144.338,29.429,16.078,34.726,26.85,37.255
Rush,142.633,33.706,29.841,17.308,15.984,45.794
Crazy Elf,138.807,42.888,35.104,12.076,33.669,15.07
Oment,119.635,21.883,23.688,31.553,21.108,21.403
Tidnab,116.444,47.786,5.954,8.178,40.861,13.665
Jomutta,115.16,26.532,10.344,22.728,35.138,20.418
Vran,114.544,27.754,24.376,18.925,19.521,23.968
Dark towers,110.751,48.05,10.051,8.932,15.691,28.027
AgFx,108.207,34.917,29.413,6.301,23.662,13.914
Templeman,94.849,41.287,24.119,10.824,11.523,7.096
MannoWrath,94.562,30.14,38.529,2.489,9.738,13.666
Toothy,93.654,0,44.903,6.65,28.57,13.531
Mulla,93.196,15.03,40.953,22.644,10.291,4.278
Cents321,92.21,19.589,15.752,3.73,27.199,25.94
Shaidar,91.83,21.668,22.206,7.007,31.067,9.882
ForPony!,89.89,0,0.0,48.092,36.917,4.881
jmerc13,88.956,25.104,6.188,20.878,26.321,10.465
Guydoonster,87.531,6.508,15.933,13.817,18.794,32.479
Sharkey,83.963,15.749,7.667,14.586,33.292,12.669
exrio,83.822,6.819,9.029,11.357,24.885,31.732
Unfather,83.569,1.114,11.703,8.58,36.05,26.122
Rio,83.284,12.3,12.885,4.746,15.664,37.689
Soup,82.625,30.458,18.889,13.275,3.512,16.491
Robert,82.088,9.369,19.605,10.369,33.255,9.49
Gipsa,81.885,5.168,0,49.444,19.389,7.884
Zedijar,79.658,18.745,23.718,11.671,21.93,3.594
Volv,79.439,13.357,10.585,7.358,43.4,4.739
Calvin,78.589,13.576,22.959,0,19.116,22.938
mris,74.13,1.809,23.699,1.776,12.134,34.712
cerbrus87,70.553,13.274,12.058,22.366,13.633,9.222
Muggistan,68.024,16.239,36.038,15.135,0,0.612
playt0i,66.768,24.052,6.372,9.643,14.557,12.144
p@qz™,65.829,0,28.009,11.994,17.794,8.032
Slice,65.051,5.239,28.263,9.915,20.243,1.391
Merf,63.283,29.953,13.83,5.806,11.478,2.216
JRog,62.65,27.934,0,0,34.716,0
Empoy,62.249,1.205,26.06,9.221,9.874,15.889
Swamp Fox,61.531,16.082,3.946,2.949,23.423,15.131
Chunk,59.55,13.706,11.602,12.301,20.694,1.247
mcgeeal,59.495,30.343,16.971,12.181,0,0
Jcinnz,57.617,28.239,9.851,3.66,7.512,8.355
margoose,57.271,0.748,9.438,4.063,4.722,38.3
Phoenix,55.887,8.935,13.332,8.838,7.706,17.076
Sloxxor,55.48,11.154,16.251,13.945,7.323,6.807
OMGnoob,55.104,0,5.748,8.046,24.587,16.723
RJ,55.033,8.55,25.847,4.286,16.35,0
Beautiful Disaster,54.564,21.822,9.151,3.912,12.827,6.852
MacTheMeek,54.45,0.0,30.209,2.253,20.665,1.323
GreyKoan,54.171,32.328,21.139,0.704,0,0
InternetFett,52.896,22.401,13.869,0.012,16.128,0.486
Almezo,52.669,0,5.862,13.011,12.585,21.211
Debus,52.334,31.965,19.046,1.323,0,0
Damdred,51.522,1.85,17.634,12.818,19.22,0.0
Thors Bjørn,50.802,0,0,17.668,12.826,20.308
Faith,50.472,20.86,0,14.561,0,15.051
DavetheGoliath,49.784,12.913,15.429,12.303,9.139,0
AlexJones,49.721,0,0,13.608,8.904,27.209
dCLCp,49.529,14.335,4.006,28.996,2.192,0
Wurstmeyer,48.734,10.068,4.637,7.482,19.124,7.423
Stevie Wonder,48.205,0,3.749,23.908,12.705,7.843
ajj_howtorot,46.743,5.162,20.386,0,17.637,3.558
Warpig,46.584,5.75,12.09,10.673,12.443,5.628
Rompar,45.913,0.053,7.68,17.675,14.679,5.826
lamb,45.086,17.215,0,7.25,14.204,6.417
TerryPie,44.923,16.925,14.718,5.44,6.806,1.034
MattyVanHalen,44.032,16.708,16.962,4.102,2.012,4.248
Freeze,43.84,1.119,14.771,10.075,8.821,9.054
SatansArsonMilitia,42.166,34.86,7.306,0,0,0
MikeyBlue,42.116,7.342,5.282,7.894,12.38,9.218
Rush2008,39.869,0,0,7.136,32.696,0.037
Gorgh,39.633,12.082,5.229,22.322,0,0
Ivetza,39.11,10.063,4.729,12.591,1.563,10.164
Kale,39.03,20.217,0,18.813,0,0
Full Garous,38.289,6.163,4.422,5.529,22.063,0.112
Puntti,38.257,20.97,3.658,5.905,4.633,3.091
Neophyte,37.582,0,1.667,0.186,18.309,17.42
Mdk,36.984,0,0.0,0.569,0,36.415
Danimoth,35.629,8.096,8.817,9.809,7.367,1.54
Bobbo,34.213,0,0.048,1.419,19.671,13.075
Uruk Hai,33.905,5.371,3.439,4.198,11.51,9.387
Esthera,33.83,11.916,4.927,10.229,2.909,3.849
bigchris27,33.77,11.605,6.202,6.623,4.445,4.895
Cloud Panda,33.354,0,6.108,12.957,3.732,10.557
King Jota,32.497,0,0.0,7.344,20.903,4.25
Jocke,32.072,13.235,18.772,0.065,0,0
Palaiyot,31.884,0,13.844,12.708,5.332,0
Canard,31.772,0,14.773,16.825,0.123,0.051
Drads,30.377,7.522,9.857,1.577,3.956,7.465
Gothia,30.254,6.549,8.667,5.161,4.179,5.698
Martinum,29.578,16.454,9.801,2.743,0.58,0
nurtho,29.546,6.434,8.286,6.09,1.042,7.694
Peabrain,28.893,8.075,8.379,1.423,1.257,9.759
LraE,28.435,19.209,0.477,7.922,0.827,0
Craghack,28.214,25.858,2.33,0,0,0.026
Sommarhydda,28.009,0.046,1.058,0.141,25.871,0.893
MustacheLess Luigi,27.829,20.992,3.067,2.822,0,0.948
Sly Delvecchio,27.792,0.0,4.375,9.092,2.127,12.198
lokiramza,27.728,11.042,15.768,0.115,0.802,0.001
Rury,27.028,6.951,10.387,0.101,4.653,4.936
Zar,26.87,26.87,0,0,0,0
Triggered,26.297,0,26.297,0,0,0
Asanka456,26.01,0.479,9.887,0.094,14.917,0.633
Hanzogod666,24.788,0,0,3.439,13.684,7.665
Cobber,23.861,9.92,10.328,0,1.761,1.852
jahmes,23.548,0.624,1.145,5.021,5.344,11.414
jboy,23.3,3.749,8.339,1.73,1.712,7.77
GoodJob,22.91,0,11.661,6.728,4.521,0
DanTheMan,22.851,6.0,0,0.065,5.301,11.485
BigBell,22.709,4.369,6.635,3.984,6.664,1.057
Korsan,22.523,0.0,11.17,5.542,5.811,0
w3bst3r,22.434,0,22.434,0,0,0
NoMeTsChris,21.976,0,0,10.647,11.329,0
ZachSmack,20.554,0,0.0,10.597,5.574,4.383
SlyPimp,20.252,14.903,5.346,0,0.003,0.0
Bespoked,19.767,19.767,0,0,0,0
Erix,19.674,11.928,3.155,3.204,1.036,0.351
Larso,19.592,8.634,0,0.556,6.411,3.991
B,19.229,19.229,0,0,0,0
Nate,18.98,0,0,0.008,15.969,3.003
DnumroV,17.608,0,0,7.994,9.614,0
Jaune,17.102,9.297,7.805,0,0,0
King Titus,16.233,16.233,0,0,0,0
Mithrandir,16.099,3.12,1.374,3.757,7.838,0.01
Gintokun,15.637,0.615,0,0.519,6.052,8.451
Gil,15.536,9.481,5.874,0.181,0,0
Master Yoda,14.867,2.242,2.504,0.984,2.715,6.422
MeeSAX,14.436,10.087,2.615,0.043,0.084,1.607
Popycorn,14.324,14.324,0,0,0,0
TeFinete,14.249,11.514,0,0.118,2.338,0.279
Disco,14.192,0,0,5.88,8.206,0.106
Yami,13.114,2.356,0.233,1.948,7.88,0.697
Oceanu,10.613,2.045,0.417,1.894,6.257,0
Dayvinho,10.52,0,1.944,0.036,8.54,0
hepizoj,9.57,9.57,0,0,0,0
Ares Titan,8.635,0,0,8.635,0,0
Kern,8.41,0,8.41,0,0,0
Rask,7.004,0,0,0,0,7.004
Mongoose,6.999,0,0.0,0.965,6.034,0
Nyohnn,6.842,0,0,0,0,6.842
Bilbo,6.805,0,0,0.177,6.628,0
Edgar,6.521,6.194,0,0.279,0.047,0.001
Campbell,6.429,6.429,0,0,0,0
Winterr,6.339,0.001,0.544,0.002,5.781,0.011
Gazebo,6.008,0.13,5.878,0,0,0
The Damned,5.029,5.029,0,0,0,0
3min3m,4.842,0,0,4.842,0,0
Grisen,4.753,0,0.054,2.08,0.543,2.076
LiragurL,4.533,0,0,0,4.533,0
Payfoot,4.239,0,0,0,0,4.239
Jaerock,3.816,3.816,0,0,0,0
Charlie,3.762,0,0,3.762,0,0
Vovin,3.482,0.236,1.005,0.072,2.12,0.049
Istoryahee,3.241,0,0,0,0,3.241
Toi2729,3.12,0,0,2.534,0.586,0
Larschung,2.991,0.032,1.412,1.473,0.074,0
squarewave,2.862,0.974,0,0,0.055,1.833
Golrath,2.835,0,0,0,0,2.835
Bazzaroony,2.507,0.023,0,0.09,0.158,2.236
Mayong,2.242,2.242,0,0,0,0
Daesan,1.969,1.059,0.91,0,0,0
Misery,1.968,0,1.804,0.164,0,0
Maximus,1.914,0,0,1.914,0,0
Greg Ostertag,1.892,0,0,0,0.111,1.781
NaUj,1.777,1.777,0,0,0,0
Dark Monument,1.583,0,0,0.076,1.091,0.416
Diamond3,1.506,0.693,0.061,0.033,0.704,0.015
TwoCoats89,1.317,0,0.31,0.543,0.423,0.041
OrlaVaer,1.23,0,1.23,0,0,0
Jakool,1.141,0,0,1.141,0,0
vic,1.126,1.126,0,0,0,0
Sarmis,1.043,0,0,0,0,1.043
WarriorLXV,0.826,0,0,0,0.826,0
Dreydanis,0.825,0,0,0,0.825,0
Chaluchasu,0.82,0.82,0,0,0,0
chianwazhere,0.816,0,0,0,0,0.816
Riddlesinthedark,0.79,0,0,0,0,0.79
Afganu,0.76,0.76,0,0,0,0
Lieke,0.639,0.12,0.195,0.324,0,0
shmonster,0.601,0,0,0.601,0,0
Crichton,0.495,0,0.11,0.319,0.066,0
Stratigos,0.494,0,0,0.181,0.313,0
Justin,0.456,0,0.019,0,0,0.437
Darthbong,0.422,0,0,0,0.422,0
Espiritus,0.364,0.364,0,0,0,0
Scratchy,0.28,0,0,0.28,0,0
Spectrall,0.264,0,0,0,0.264,0
Redkozak,0.203,0,0,0.203,0,0
Nik_Fot,0.177,0,0,0,0,0.177
Cosmic,0.166,0,0,0.166,0,0
TheLastVegan,0.138,0,0,0.138,0,0
Turnabell,0.137,0.137,0,0,0,0
JamesEna,0.118,0,0,0,0,0.118
Tristagi43,0.103,0,0,0,0,0.103
MBison,0.083,0,0,0,0,0.083
FallenEccentrix,0.064,0.005,0.059,0,0,0
Spudguntechie,0.055,0,0,0.055,0,0
Nathen,0.051,0,0,0,0.051,0
IanTheWrong,0.05,0,0.05,0,0,0
Red Rocks,0.049,0,0,0,0.049,0
ryorge,0.044,0,0,0,0.044,0
RookieOG,0.039,0.039,0,0,0,0
Juxta,0.027,0,0,0,0,0.027
Lud,0.026,0,0,0.026,0,0
Semo,0.023,0.023,0,0,0,0
Alexander87,0.021,0.021,0,0,0,0
Voldigar,0.011,0,0.011,0.0,0.0,0
cabbieTwoFive,0.008,0,0.008,0,0,0
hunter,0.007,0,0,0,0,0.007
Meowbits,0.005,0,0.005,0,0,0
Ron1n,0.005,0,0,0,0,0.005
Ro,0.003,0,0.003,0,0,0
Jdh,0.002,0,0.002,0,0,0
Apo Lakay,0.0,0.0,0,0,0,0
Skubasteve,0.0,0.0,0,0,0,0
CooldowN,0.0,0,0.0,0,0,0
SapheraKurenai,0.0,0,0,0.0,0,0
Ezrek,0.0,0,0,0.0,0,0
