Saccora,537.859,44.815,41.156,38.045,28.4,24.597,27.267,48.45,61.121,19.666,48.581,31.427,29.439,5.946,32.409,21.652,34.888
Cronel,472.135,48.098,47.812,32.028,48.868,34.481,37.52,53.819,34.034,35.401,42.147,13.678,0,0,0.051,4.953,39.245
Virchue,470.382,29.429,16.078,34.726,26.85,37.255,35.204,22.577,23.089,32.91,27.845,47.755,30.682,39.103,15.659,24.504,26.716
Oment,409.601,21.883,23.688,31.553,21.108,21.403,44.621,23.284,26.889,21.15,33.349,10.149,24.563,21.64,16.524,36.836,30.961
Rush,387.479,33.706,29.841,17.308,15.984,45.794,31.92,42.308,30.023,22.837,37.959,13.498,0,0.992,36.225,20.026,9.058
Downrightdave,332.793,40.075,37.116,45.636,47.448,35.56,19.425,52.237,55.296,0,0,0,0,0,0,0,0
Grapes of Math,323.048,41.546,32.267,45.816,39.983,40.485,41.921,36.926,44.104,0,0,0,0,0,0,0,0
Robert,289.756,9.369,19.605,10.369,33.255,9.49,6.954,62.752,7.837,11.789,9.782,5.37,20.549,8.551,44.323,20.024,9.737
Crazy Elf,277.383,42.888,35.104,12.076,33.669,15.07,27.161,25.884,10.394,18.22,4.866,5.277,16.333,1.951,6.341,22.149,0
p@qz™,266.037,0,28.009,11.994,17.794,8.032,13.443,18.054,30.72,18.129,28.951,21.752,19.054,25.542,19.117,5.446,0
Mulla,264.629,15.03,40.953,22.644,10.291,4.278,9.354,19.359,12.062,26.319,18.394,9.894,29.693,24.444,8.433,6.893,6.588
Toothy,248.117,0,44.903,6.65,28.57,13.531,21.066,8.275,31.091,12.341,23.196,7.083,5.261,29.911,9.629,3.247,3.363
Jomutta,245.242,26.532,10.344,22.728,35.138,20.418,15.187,13.387,16.668,11.402,16.255,11.742,26.924,6.934,7.641,3.942,0
Rio,243.257,12.3,12.885,4.746,15.664,37.689,9.567,17.795,10.067,10.397,18.729,13.257,22.601,8.655,19.931,14.065,14.909
Sharkey,235.826,15.749,7.667,14.586,33.292,12.669,17.724,16.856,26.336,0.338,25.327,6.061,17.774,19.125,5.048,4.391,12.883
ajj_howtorot,235.747,5.162,20.386,0,17.637,3.558,0.712,18.648,2.048,51.522,18.283,4.245,48.115,29.729,15.702,0,0
Tidnab,229.52,47.786,5.954,8.178,40.861,13.665,6.982,25.566,6.449,11.856,8.175,1.739,1.965,1.36,0.155,39.08,9.749
Templeman,223.863,41.287,24.119,10.824,11.523,7.096,11.512,13.104,1.012,40.794,3.333,47.259,0.915,7.835,1.272,1.974,0.004
Merf,223.719,29.953,13.83,5.806,11.478,2.216,9.164,2.655,18.733,20.725,12.751,12.227,17.503,24.923,7.044,13.138,21.573
Vran,217.026,27.754,24.376,18.925,19.521,23.968,25.181,28.206,23.738,24.153,1.204,0,0,0,0,0,0
